api_event_id,api_id,analyst_id,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
7256832,1,TAS,Explosions/Remote violence,Air/drone strike,Global Coalition Against Daesh,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Islamic State (Iraq),,Middle East,Iraq,Ninewa,Mosul,,Shurah,35.9927,43.2206,Al Sumaria TV; Ayn Al Iraq News,"On 24 October 2020, global coalition forces, in coordination with Iraqi intelligence, conducted an airstrike targeting IS positions in Shurah in Ninewa. The airstrike resulted in the destruction of IS tunnels and dens. No fatalities/injuries were reported by the source.",0,1603742173
7256841,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-),,Islamic State (Iraq),,Middle East,Iraq,Diyala,Khalis,,Al Azim,34.2754,44.5385,Al Maloomah; National Iraqi News Agency,"On 24 October 2020, Iraqi military forces thwarted an IS attack in the Albu Awad area, Azim district, Diyala. One soldier was wounded in the armed clash and IS militants were able to escape.",0,1603742174
7256850,1,TAS,Strategic developments,Arrests,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Police Forces of Iraq (2020-) Asayish,Islamic State (Iraq),,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,Al Ahad TV; Baghdad Today; Watan (Iraq),"Arrests: On 24 October 2020, intelligence forces, in collaboration with Asayish forces, arrested a prominent IS figure who was in charge of major IS attacks in Baghdad.",0,1603742174
7263513,1,TAS,Strategic developments,Arrests,Police Forces of Iraq (2020-),,Islamic State (Iraq),,Middle East,Iraq,Ninewa,Mosul,,Al Qayyarah,35.7993,43.2945,National Iraqi News Agency,"Arrests: On 24 October 2020, security forces arrested a security official in IS in Qayyarah area in Mosul.",0,1603755474
7256865,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),Judges (Iraq),Middle East,Iraq,Missan,Amara,,Amara,31.8356,47.1448,Baghdad Today; National Iraqi News Agency; All Iraq News Agency,"On 24 October 2020, an unidentified armed group targeted the house of a judge in Mealemeen neighbourhood, Amara, Missan, with an IED. The explosion caused material damage only.",0,1603742174
7256868,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Global Coalition Against Daesh,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Baghdad Post; Al Mawqif; Al Sumaria TV; Watan (Iraq),"On 24 October 2020, an unidentified IED exploded targeting a logistic convoy operating for the global coalition in Basrah province. Source reported that there were no fatalities.",0,1603742174
7256981,1,TAS,Battles,Armed clash,Islamic State (Iraq),,Military Forces of Iraq (2020-),,Middle East,Iraq,Baghdad,Al Tarmia,,At Tarmiyah,33.6643,44.3737,Al Ahad TV,"On 24 October 2020, a force affiliated with the sixth division in the army came under fire from an IS sniper weapon in At Tarmiyah area, north of Baghdad, which led to the wounding of a soldier",0,1603742174
7256989,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 24 October 2020, an unidentified armed group planted an IED in a electric generator in Al Ableh neighbourhood in the city of Basrah, which exploded destroying the generator.",0,1603742174
7257004,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 24 October 2020, the house of a civilian activist in the city of Basrah was targeted by an IED planted by an unidentified armed group, the explosion resulted in material damage only.",0,1603742174
7257019,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Al Mirbad,"On 24 October 2020, thousands of protesters organized a demonstration in the city of Nassriya demanding political reform on the day before the October 25 demonstrations anniversary. [size=thousands]",0,1603742174
7257026,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),Labour Group (Iraq); Global Coalition Against Daesh,Middle East,Iraq,Sala al-Din,Tikrit,,Al Rayyash,34.7688,43.5324,Baghdad Post,"Around 24 October 2020 (as reported), an unidentified IED exploded targeting a convoy carrying logistical materials for the Global Coalition by a contractor (Iraqi company and drivers) in the village of Al Rayyash, Sala al-Din, wounding the driver.",0,1603742174
7257067,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Khanaqin,,Mansuriyah,34.0807,44.959,National Iraqi News Agency,"On 24 October 2020, mortar shelling launched by an unidentified armed group on the outskirts of Mansuriyah, northeast Baquba, injured a female civilian.",0,1603742174
7257071,1,TAS,Battles,Armed clash,Islamic State (Iraq),,Police Forces of Iraq (2020-),,Middle East,Iraq,Kirkuk,Haweeja,,Haweeja,35.3271,43.7694,National Iraqi News Agency,"On 24 October 2020, IS militants attacked a security post of the federal police in the village of Al-Nakara in Haweeja district, wounding one police officer.",0,1603742174
7256833,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Metina,37.1683,43.2709,TRT Haber; Haber 7; Anadolu Agency; Takvim,"Around 23 October 2020 (as reported), 2 PKK militants were killed or injured during the Turkish Army airstrikes against PKK militants in Zap region (Amadiya district) of Dahuk, Northern Iraq.",0,1603742173
7257091,1,TAS,Strategic developments,Change to group/activity,Police Forces of Iraq (2020-),,,,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,Shafaaq News,"Movement of forces: On 23 October 2020, police forces were deployed in the streets of the city of Baghdad in preparation for expected demonstrations.",0,1603742174
7257095,1,TAS,Strategic developments,Change to group/activity,Military Forces of Iraq (2020-) Popular Mobilization Forces,Badr Organization,,,Middle East,Iraq,Diyala,Khanaqin,,Khanaqin,34.3482,45.3906,Shafaaq News,"Movement of forces: On 23 October 2020, units of the 1st brigade of PMF (Badr Organization) were deployed on the Khanaqin, Naft Khana road to secure it from IS activity.",0,1603742174
7256845,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,Badr Organization,Islamic State (Iraq),,Middle East,Iraq,Sala al-Din,Daur,,Aradi al Ayth,34.3933,44.3787,Xinhua; Baghdad Today; National Iraqi News Agency,"On 23 October 2020, PMF forces of the 22nd brigade (Badr Organization) engaged in armed clash with IS militants in al Ayth, Sala al-Din, resulting in the killing of 2 PMF fighters.",2,1603742174
7256849,1,TAS,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,Unidentified Tribal Militia (Iraq),,Middle East,Iraq,Baghdad,Rusafa,,Baghdad - Rusafa,33.3473,44.4116,National Iraqi News Agency; Basnews,"On 23 October 2020, an armed tribal conflict erupted in the Fadhiliya (Faziliyah) neighbourhood, Baghdad - Rusafa. No fatalities/injuries were reported by the source; one source reported multiple casualties without providing details.",0,1603742174
7256854,1,TAS,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Muqdadiyah,,Abu Saida,33.9289,44.7761,Yaqein; National Iraqi News Agency,"On 23 October 2020, unidentified gunmen assassinated a civilian by shooting at his car while he was returning to his home in Abi Saida district, northeast of Baqubah, killing him immediately.",1,1603742174
7256870,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Military Forces of Iraq (2020-),,Middle East,Iraq,Diyala,Baquba,,Qaryat Al Tawakul,33.6024,44.566,Al Ahad TV; Al Maloomah; Al Sumaria TV; Baghdad Today; Baghdad Post; Shafaaq News; Patriotic Union of Kurdistan; National Iraqi News Agency; Basnews; Yaqein,"On 23 October 2020, an explosive device placed on the side of an agricultural road near the village of Tawakul in the outskirts of Al-Muqdadiyah exploded on an army patrol, wounding an officer and at least one soldier with varying wounds.",0,1603742174
