event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40923,24 October 2020,Strategic developments,Looting/property destruction,Unidentified Armed Group (Ukraine),,Civilians (Ukraine),Servant of the People,Europe,Ukraine,Rivne,Rivne,,Rivne,50.6231,26.2274,Novoye Vremya Ukraine; Segodnya,"Property destruction: On 24 October 2020, unidentified individuals set fire to a car of a regional council candidate from Servant of the People party in Rivne. No injuries were reported.",0
41011,24 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Women (Ukraine); Protesters (Belarus),,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Novoye Vremya Ukraine; 24 Channel,"On 24 October 2020, about 50 citizens of Ukraine and Belarus, primarily women, protested in Kiev-Shevchenkivskyi in support of the women's anti-governmental protests in Belarus. [size=several dozen]",0
40939,24 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Toretsk Municipality,,Shumy,48.3802,37.9339,JFO HQ press centre,"On 24 October 2020, the NAF rebel forces fired small arms at the governmental positions near Shumy, Donetsk.",0
40938,24 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Starobeshivsky,,Kamianka,47.7966,37.9107,JFO HQ press centre,"On 24 October 2020, the NAF rebel forces fired small arms at the governmental positions near Kamianka, Donetsk.",0
40940,24 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Vodyane,47.1478,37.7881,JFO HQ press centre,"On 24 October 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Vodyane, Donetsk.",0
40965,24 October 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Yasynuvata,,Mineralne,48.0996,37.8254,OSCE SMM-Ukraine,"On 24 October 2020, the OSCE SMM observed a total of 23 shots involving small arms near Mineralne.",0
41012,24 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Yasynuvata,,Donetsk Filtration Station,48.1331,37.808,OSCE SMM-Ukraine,"On 24 October 2020, the OSCE SMM observed a total of 2 explosions involving unknown weapons near Donetsk Filtration Station.",0
41010,24 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Traditions and Order,,,Europe,Ukraine,Lviv,Lviv Municipality,,Lviv,49.8407,24.0305,Tradition and Order,"On 24 October 2020, people, including members of Tradition and Order, protested in Lviv against a politician from Opposition Platform - For Life, Victor Medvedchuk, after a court banned a book about a dissident Ukrainian poet. Medvedchuk demanded the prohibition of the book because it mentions him as the poet's state-appointed defense attorney. [size=no report]",0
41004,23 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Former Military Forces of Ukraine (2019-); National Corps Party,,,Europe,Ukraine,Kirovohrad,Kropyvnytskyi,,Kropyvnytskyi,48.5153,32.2545,Novoye Vremya Ukraine; National Corps,"On 23 October 2020, veterans and members of National Corps protested in Kropyvnytskyi demanding that bus drivers respect the veterans' right to use public transport for free. [size=no report]",0
41006,23 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Prisoners (Ukraine),,,Europe,Ukraine,Odessa,Odessa Municipality,,Odessa,46.4639,30.7386,Reporter-ua; Novoye Vremya Ukraine,"On 23 October 2020, seven detainees cut their veins during the court hearing in Odessa in protest against the constant postponement of the trial and the prolongation of their arrest. All seven were hospitalised. [size=seven]",0
40955,23 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Novoazovsky,,Azov,47.1544,37.8619,DPR Armed Forces Press Service,"On 23 October 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Azov, Donetsk.",0
40954,23 October 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Yasynuvata,,Mineralne,48.0996,37.8254,DPR Armed Forces Press Service,"On 23 October 2020, the Ukrainian Forces fired small arms at the positions of the Donbass People's Militia in the area of Mineralne, Donetsk.",0
40957,23 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Yasynuvata,,Spartak,48.079,37.7635,DPR Armed Forces Press Service,"On 23 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Spartak, Donetsk.",0
