event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40686,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Novoazovsky,,Uzhivka,47.1446,37.8563,DPR Armed Forces Press Service,"On 30 September 2020, the Ukrainian Forces fired 82mm mortars and grenade launchers at the positions of the Donbass People's Militia in the area of Uzhivka, Donetsk.",0
40687,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Bakhmut,,Dolomytne,48.416,38.1346,DPR Armed Forces Press Service,"On 30 September 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Dolomytne, Donetsk.",0
40688,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Horlivka Municipality,,Mine 6/7,48.3767,37.9636,DPR Armed Forces Press Service,"On 30 September 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Mine 6/7, Donetsk.",0
40653,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Luhansk,Popasniansky,,Donetskyi,48.6963,38.6738,LPR People's Militia Press Service,"On 30 September 2020, the Ukrainian Forces fired grenade launchers at the positions of the Luhansk People's Militia in the area of Donetskyi, Luhansk.",0
40654,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Donetsk,Bakhmut,,Logvinovo,48.38,38.3471,LPR People's Militia Press Service,"On 30 September 2020, the Ukrainian Forces fired grenade launchers at the positions of the Luhansk People's Militia in the area of Logvinovo, Donetsk.",0
40655,30 September 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Luhansk,Popasniansky,,Zolote-5,48.6719,38.56,LPR People's Militia Press Service,"On 30 September 2020, the Ukrainian Forces fired small arms at the positions of the Luhansk People's Militia in the area of Zolote-5, Luhansk.",0
40656,30 September 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Luhansk,Popasniansky,,Berezivske,48.6712,38.6027,LPR People's Militia Press Service,"On 30 September 2020, the Ukrainian Forces fired small arms at the positions of the Luhansk People's Militia in the area of Berezivske, Luhansk.",0
40708,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Donetsk,,Tekstylnyk,47.9442,37.6928,OSCE SMM-Ukraine,"On 30 September 2020, the OSCE SMM observed a total of 14 explosions involving unknown weapons near Tekstylnyk.",0
40709,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,,,Europe,Ukraine,Donetsk,Bakhmut,,Travneve,48.4254,38.1016,OSCE SMM-Ukraine,"On 30 September 2020, the OSCE SMM observed a total of 2 explosions involving unknown weapons near Travneve.",0
40710,30 September 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Slovyanoserbsk,,Slovyanoserbsk,48.6978,38.9813,OSCE SMM-Ukraine,"On 30 September 2020, the OSCE SMM observed a total of 8 explosions involving unknown weapons near Slovyanoserbsk.",0
