event_id_no_cnty	event_date	event_type	sub_event_type	actor1	assoc_actor_1	actor2	assoc_actor_2	region	country	admin1	admin2	admin3	location	latitude	longitude	source	notes	fatalities
40650	29 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	Democratic Axe Party			Europe	Ukraine	Kiev City	Kiev		Kiev-Pecherskyi	50.427	30.5454	Demokratychna Sokyra	On 29 September 2020, members of Democratic Axe Party protested outside a court in Kiev-Pecherskyi demanding to be included in the 2020 local elections. [size=no report]	0
40824	29 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	Labour Group (Ukraine)			Europe	Ukraine	Dnipropetrovsk	Kryvyi Rih		Kryvyi Rih	47.9093	33.3933	UA:Dnipro	On 29 September 2020, employees of a locomotive depot held a protest in Kryvyi Rih, Dnipropetrovsk, in support of miners who went on strike and refused to rise to the surface after their shift. The protesters demand higher salaries and better work conditions for miners and railway workers. [size=no report]	0
40649	29 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	National Corps Party			Europe	Ukraine	Mykolaiv	Mykolaiv		Mykolaiv	46.9672	32.0183	National Corps	On 29 September 2020, members of National Corps protested outside the city council in Mykolaiv against the inclusion of Opposition Platform - For Life party in the 2020 local elections. The protesters claim that the party filled in the documents incorrectly but was allowed to run anyway. [size=no report]	0
40651	28 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	Government of Ukraine (2019-); Proposition Party			Europe	Ukraine	Kiev City	Kiev		Kiev-Pecherskyi	50.427	30.5454	Stop Corruption	On 28 September 2020, people, including mayors of several cities and members of Proposition party, protested outside the President's Office in Kiev-Pecherskyi demanding that the mayor of Uman be included in the 2020 local elections. [size=no report]	0
40822	27 September 2020	Strategic developments	Looting/property destruction	Unidentified Armed Group (Ukraine)		Civilians (Ukraine)		Europe	Ukraine	Kharkiv	Kharkiv		Kharkiv	49.9808	36.2527	StatusQuo	Property destruction: On 27 September 2020, about a dozen people slashed a campaigning stand of an unspecified political party in Kharkiv.	0
40645	27 September 2020	Protests	Peaceful protest	Protesters (Ukraine)				Europe	Ukraine	Kiev City	Kiev		Kiev-Shevchenkivskyi	50.4646	30.4655	Novoye Vremya Ukraine	On 27 September 2020, people protested in Kiev-Shevchenkivskyi in support of anti-government demonstrations in Belarus. [size=no report]	0
40823	27 September 2020	Strategic developments	Looting/property destruction	Unidentified Armed Group (Ukraine)		Civilians (Ukraine)	Ukrainian Orthodox Christian Group (Ukraine)	Europe	Ukraine	Kharkiv	Kharkiv		Kharkiv	49.9808	36.2527	OSCE SMM-Ukraine	Property destruction: On 27 September 2020, unidentified individuals fired small arms and threw stones at an empty chapel building of the Orthodox Church of Ukraine in Kharkiv.	0
40821	26 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	National Corps Party			Europe	Ukraine	Kharkiv	Kharkiv		Kharkiv	49.9808	36.2527	Obyektiv Novosti; StatusQuo	On 26 September 2020, about 100 people, including members of National Corps, protested in Kharkiv demanding that the Kharkiv Coke Plant be closed as it releases pollutants in the air. [size=about 100]	0
40588	25 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	Traditions and Order			Europe	Ukraine	Chernivtsi	Chernivtsi Municipality		Chernivtsi	48.2915	25.9403	Tradition and Order	"On 25 September 2020, members of Traditions and Order protested in Chernivtsi demanding the prohibition of ""LGBT propaganda"". [size=no report]"	0
40589	25 September 2020	Protests	Peaceful protest	Protesters (Ukraine)	Teachers (Ukraine); Students (Ukraine)			Europe	Ukraine	Kiev City	Kiev		Kiev-Pecherskyi	50.427	30.5454	Liveuamap; 24 Channel; Ukrinform	On 25 September 2020, teachers and students of the Olympic college protested outside the Cabinet of Ministers in Kiev-Pecherskyi against the reorganisation of their university. [size=no report]	0
